S.No.,reg_no,1000221202,1054221200,1005221202,1005221203,1000221107,1054221210,1000221112,1005221212,1000221210,1000221210,SGPA
1,22L31A5402,B,D,D,C,B,O,O,A,O,CP,7.78
2,22L31A5403,A,O,A,A,C,O,O,O,O,CP,9.25
3,22L31A5404,C,B,B,B,C,O,A,O,O,CP,8.28
4,22L31A5405,D,A,D,C,B,O,A,O,O,CP,7.93
5,22L31A5406,C,A,A,A,A,O,A,O,O,CP,8.93
6,22L31A5407,A,O,A,A,O,O,O,O,O,CP,9.55
7,22L31A5408,C,B,B,A,B,O,A,A,O,CP,8.45
8,22L31A5409,A,A,A,A,B,O,A,O,O,CP,9.13
9,22L31A5410,B,A,B,B,A,O,A,O,O,CP,8.78
10,22L31A5411,A,O,A,A,A,O,O,O,O,CP,9.45
11,22L31A5412,B,O,A,A,A,O,O,O,O,CP,9.3
12,22L31A5413,C,B,B,A,B,O,A,A,A,CP,8.38
13,22L31A5414,A,A,A,O,A,O,O,O,O,CP,9.45
14,22L31A5415,D,C,B,B,C,O,A,O,A,CP,7.9
15,22L31A5416,C,B,A,A,B,O,O,O,O,CP,8.75
16,22L31A5417,C,B,D,B,B,O,A,A,O,CP,8
17,22L31A5418,A,O,A,A,B,O,O,O,O,CP,9.35
18,22L31A5419,C,B,B,A,C,O,A,O,O,CP,8.43
19,22L31A5420,B,C,C,A,B,O,O,O,O,CP,8.45
20,22L31A5421,B,D,B,B,C,O,A,O,A,CP,8.05
21,22L31A5422,B,C,B,A,B,O,O,O,O,CP,8.6
22,22L31A5423,A,B,A,B,C,O,A,O,O,CP,8.73
23,22L31A5424,F,C,C,C,C,O,A,O,A,CP,6.7
24,22L31A5425,A,O,A,B,A,O,O,O,O,CP,9.3
25,22L31A5426,A,A,A,A,A,O,O,O,O,CP,9.3
26,22L31A5427,B,B,B,B,A,O,O,O,O,CP,8.7
27,22L31A5428,A,A,A,A,B,O,O,O,O,CP,9.2
28,22L31A5429,O,A,A,A,A,O,O,O,O,CP,9.45
29,22L31A5430,B,A,C,A,A,O,O,O,O,CP,8.85
30,22L31A5431,B,C,B,C,C,O,O,O,O,CP,8.2
31,22L31A5432,A,A,A,A,A,O,O,O,O,CP,9.3
32,22L31A5433,C,B,B,B,B,O,A,O,A,CP,8.3
33,22L31A5434,B,C,C,B,B,O,O,O,O,CP,8.3
34,22L31A5435,B,A,B,B,C,O,A,O,A,CP,8.5
35,22L31A5436,C,C,C,B,B,O,O,O,O,CP,8.15
36,22L31A5437,F,C,D,C,C,O,A,O,A,CP,6.55
37,22L31A5438,A,A,B,A,A,O,O,O,O,CP,9.15
38,22L31A5439,A,A,B,B,C,O,B,O,O,"
CP",8.65
39,22L31A5440,A,A,A,O,A,O,O,O,O,CP,9.45
40,22L31A5441,A,A,B,B,A,O,O,O,O,CP,9
41,22L31A5442,C,A,C,C,A,O,O,O,F,CP,7.65
42,22L31A5443,B,O,A,A,A,O,O,O,O,CP,9.3
43,22L31A5444,A,A,A,O,A,O,O,O,O,CP,9.45
44,22L31A5446,B,A,A,A,A,O,A,O,O,CP,9.08
45,22L31A5447,B,A,C,B,A,O,O,O,O,CP,8.7
46,22L31A5448,C,A,C,C,C,O,A,O,O,CP,8.13
47,22L31A5449,B,A,B,C,A,O,O,O,O,CP,8.7
48,22L31A5450,O,O,A,A,O,O,O,O,O,CP,9.7
49,22L31A5451,D,B,D,F,C,O,A,A,A,CP,6.48
50,22L31A5452,F,A,C,D,C,O,A,A,A,CP,6.78
51,22L31A5453,B,A,B,D,B,O,O,A,O,??,8.38
52,22L31A5454,B,A,A,O,O,O,O,O,O,CP,9.4
53,22L31A5455,A,B,A,A,A,O,O,O,O,CP,9.15
54,22L31A5456,B,B,A,B,A,O,O,O,O,CP,8.85
55,22L31A5457,A,B,A,A,A,O,O,O,O,CP,9.15
56,22L31A5458,C,B,B,B,B,O,A,O,O,CP,8.53
57,22L31A5459,C,C,B,C,B,O,O,O,O,CP,8.15
58,22L31A5460,F,D,D,D,D,O,A,O,O,CP,6.23
59,22L31A5461,B,B,A,A,A,O,O,O,O,CP,9
60,22L31A5462,A,B,B,O,B,O,O,O,O,CP,9.05
61,22L31A5463,C,B,B,C,B,O,A,O,O,CP,8.23
62,22L31A5465,C,D,C,D,B,O,A,O,O,CP,7.63
63,22L31A5466,A,B,B,B,A,O,O,O,O,CP,8.85
64,22L31A5467,B,C,B,B,A,O,O,O,O,CP,8.55
65,22L31A5468,B,C,B,A,A,O,O,O,O,CP,8.7
66,22L31A5469,O,C,B,O,A,O,O,O,O,CP,9.15
67,22L31A5470,A,B,B,O,A,O,O,O,O,CP,9.15
68,22L31A5471,C,C,B,B,B,O,O,O,A,CP,8.23
69,22L31A5472,D,C,B,B,B,O,A,O,O,CP,8.08
70,22L31A5473,B,C,C,B,A,O,A,O,A,CP,8.25
71,22L31A5474,C,B,B,B,A,O,O,O,O,CP,8.55
72,22L31A5475,C,B,B,A,A,O,O,O,O,CP,8.7
73,22L31A5476,C,B,C,B,A,O,O,O,O,CP,8.4
74,22L31A5477,A,A,A,B,A,O,O,O,O,CP,9.15
75,22L31A5478,A,A,A,B,A,O,O,O,O,CP,9.15
76,22L31A5479,B,A,B,B,B,O,A,O,O,CP,8.68
77,22L31A5480,D,B,B,B,B,O,O,O,O,CP,8.3
78,22L31A5481,D,A,C,C,B,O,A,O,A,CP,8
79,22L31A5482,C,B,B,B,C,O,A,O,A,CP,8.2
80,22L31A5483,F,D,F,D,C,O,A,F,F,CP,3.93
81,22L31A5484,B,A,B,B,A,O,O,O,O,CP,8.85
82,22L31A5485,B,O,B,A,A,O,O,O,O,CP,9.15
83,22L31A5486,B,A,C,B,A,O,O,O,A,CP,8.63
84,22L31A5487,C,A,C,B,A,O,O,O,O,CP,8.55
85,22L31A5488,D,B,C,C,C,O,A,A,A,CP,7.68
86,22L31A5489,C,A,B,B,B,O,A,O,O,CP,8.53
87,22L31A5490,B,A,A,B,A,O,O,O,O,CP,9
88,22L31A5491,F,C,D,AB,B,O,O,O,A,CP,5.68
89,22L31A5492,D,D,F,F,B,O,A,A,O,NCP,5.45
90,22L31A5493,B,A,A,B,C,O,O,O,O,CP,8.8
91,22L31A5494,B,A,B,B,A,O,O,O,A,CP,8.78
92,22L31A5495,D,C,D,D,B,O,A,O,A,CP,7.4
93,22L31A5496,B,A,C,B,A,O,A,O,O,CP,8.63
94,22L31A5497,D,B,D,C,C,O,A,O,A,CP,7.6
95,22L31A5498,F,B,B,C,B,O,O,O,A,CP,7.18
96,22L31A5499,D,B,C,C,B,O,A,O,O,CP,7.93
97,22L31A54A0,F,B,D,B,B,O,A,O,A,CP,6.95
98,22L31A54A1,A,A,A,B,A,O,A,O,O,CP,9.08
99,22L31A54A2,C,B,B,C,A,O,A,O,O,CP,8.33
100,22L31A54A3,C,A,B,C,B,O,A,O,O,CP,8.38
101,22L31A54A4,A,O,A,B,A,O,O,O,O,CP,9.3
102,22L31A54A5,A,A,B,A,A,O,O,O,O,CP,9.15
103,22L31A54A6,C,B,C,B,B,O,O,O,O,CP,8.3
104,22L31A54A7,C,A,B,A,A,O,O,O,O,CP,8.85
105,22L31A54A8,A,A,C,B,A,O,A,O,O,CP,8.78
106,22L31A54B0,D,A,C,B,B,O,O,O,O,CP,8.3
107,22L31A54B1,B,A,A,A,A,O,A,O,A,CP,9
108,22L31A54B2,F,D,F,C,C,O,A,O,O,CP,5.58
109,22L31A54B3,C,A,C,C,A,O,O,O,O,CP,8.4
110,22L31A54B4,A,A,B,A,A,O,O,O,O,CP,9.15
